file	packed_size	blocks	unpacked_size	block_unpacked_sizes	png_status	png
PACS/A00.PAC	5827	2	9714	4857,4857	Axx scene: 1 x 160x96 base image(s), 24 overlay graphics + positioned frames	png/PACS/A00/A00_base_160x96.png
PACS/A01.PAC	9769	4	14838	3709,2782,4173,4174	Axx scene: 1 x 160x96 base image(s), 29 overlay graphics + positioned frames	png/PACS/A01/A01_base_160x96.png
PACS/A02.PAC	8949	4	10742	2685,4028,2014,2015	Axx scene: 1 x 160x96 base image(s), 25 overlay graphics + positioned frames	png/PACS/A02/A02_base_160x96.png
PACS/A03.PAC	8141	6	10338	2584,1938,1454,1090,1636,1636	Axx scene: 1 x 160x96 base image(s), 31 overlay graphics + positioned frames	png/PACS/A03/A03_base_160x96.png
PACS/A04.PAC	8811	6	10684	2671,2003,1502,1127,1690,1691	Axx scene: 1 x 160x96 base image(s), 14 overlay graphics + positioned frames	png/PACS/A04/A04_base_160x96.png
PACS/A05.PAC	6940	3	9852	4926,2463,2463	Axx scene: 1 x 160x96 base image(s), 23 overlay graphics + positioned frames	png/PACS/A05/A05_base_160x96.png
PACS/A06.PAC	8980	4	12676	3169,2376,1782,5349	Axx scene: 1 x 160x96 base image(s), 42 overlay graphics + positioned frames	png/PACS/A06/A06_base_160x96.png
PACS/A07.PAC	8943	3	12580	3145,4717,4718	Axx scene: 1 x 160x96 base image(s), 57 overlay graphics + positioned frames	png/PACS/A07/A07_base_160x96.png
PACS/A08.PAC	10781	7	14612	3653,1369,1198,1049,917,3213,3213	Axx scene: 1 x 160x96 base image(s), 35 overlay graphics + positioned frames	png/PACS/A08/A08_base_160x96.png
PACS/A09.PAC	11195	5	16660	4165,3123,2343,3514,3515	Axx scene: 1 x 160x96 base image(s), 26 overlay graphics + positioned frames	png/PACS/A09/A09_base_160x96.png
PACS/A0A.PAC	9122	4	11830	2957,2218,3327,3328	Axx scene: 1 x 160x96 base image(s), 12 overlay graphics + positioned frames	png/PACS/A0A/A0A_base_160x96.png
PACS/A0B.PAC	9017	4	14046	3511,2633,3951,3951	Axx scene: 1 x 160x96 base image(s), 30 overlay graphics + positioned frames	png/PACS/A0B/A0B_base_160x96.png
PACS/A0C.PAC	6834	4	12026	3006,2255,3382,3383	Axx scene: 1 x 160x96 base image(s), 14 overlay graphics + positioned frames	png/PACS/A0C/A0C_base_160x96.png
PACS/A0D.PAC	8388	5	11710	2927,2195,1647,2470,2471	Axx scene: 1 x 160x96 base image(s), 17 overlay graphics + positioned frames	png/PACS/A0D/A0D_base_160x96.png
