overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	16	6	128	28	0x14	0x1E00	0x204A	48
2	16	6	128	28	0x1C	0x1E30	0x207A	48
3	16	6	128	28	0x24	0x1E60	0x20AA	48
4	16	6	16	28	0x2C	0x1E90	0x20DA	48
5	16	6	16	28	0x34	0x1EC0	0x210A	48
6	16	6	16	28	0x3C	0x1EF0	0x213A	48
7	16	5	80	16	0x44	0x1F20	0x216A	40
8	16	5	80	16	0x4C	0x1F48	0x2192	40
9	16	10	80	24	0x54	0x1F70	0x21BA	80
10	32	10	32	19	0x5C	0x1FC0	0x220A	160
11	16	4	80	47	0x64	0x2060	0x22AA	32
12	16	9	80	45	0x6C	0x2080	0x22CA	72
13	16	9	80	45	0x74	0x20C8	0x2312	72
14	16	4	112	31	0x7C	0x2110	0x235A	32
15	16	5	112	31	0x84	0x2130	0x237A	40
16	16	9	112	29	0x8C	0x2158	0x23A2	72
17	16	4	64	60	0x94	0x21A0	0x23EA	32
18	16	9	64	58	0x9C	0x21C0	0x240A	72
19	16	2	64	29	0xA4	0x2208	0x2452	16
20	16	9	64	26	0xAC	0x2218	0x2462	72
21	16	8	64	26	0xB4	0x2260	0x24AA	64
22	16	3	80	6	0xBC	0x22A0	0x24EA	24
23	32	6	64	3	0xC4	0x22B8	0x2502	96
24	32	9	64	3	0xCC	0x2318	0x2562	144
