slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x13A	21	01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 ff
1	0x55	0x14F	5	17 18 18 17 ff
2	0x5A	0x154	8	17 18 18 17 19 19 1a ff
3	0x62	0x15C	10	19 19 00 1a 19 1a 19 1a 19 ff
4	0x6C	0x166	2	17 ff
5	0x6E	0x168	3	19 19 ff
6	0x71	0x16B	9	19 1a 19 17 18 17 18 17 ff
7	0x7A	0x174	4	15 00 15 ff
8	0x7E	0x178	4	15 15 15 ff
9	0x82	0x17C	2	1c ff
10	0x84	0x17E	3	1b 1b ff
11	0x87	0x181	3	1d 1d ff
12	0x8A	0x184	7	1b 00 1c 8d 1b 1b ff
13	0x91	0x18B	3	16 16 ff
14	0x94	0x18E	22	01 02 03 04 05 06 07 08 09 0a 0b 8f 0c 0d 0e 0f 10 11 12 13 14 ff
15	0xAA	0x1A4	21	01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 ff
16	0xBF	0x1B9	1	ff
17	0xC0	0x1BA	1	ff
18	0xC1	0x1BB	1	ff
19	0xC2	0x1BC	1	ff
20	0xC3	0x1BD	1	ff
21	0xC4	0x1BE	1	ff
22	0xC5	0x1BF	1	ff
23	0xC6	0x1C0	1	ff
24	0xC7	0x1C1	1	ff
25	0xC8	0x1C2	1	ff
26	0xC9	0x1C3	1	ff
27	0xCA	0x1C4	1	ff
28	0xCB	0x1C5	1	ff
29	0xCC	0x1C6	1	ff
30	0xCD	0x1C7	1	ff
31	0xCE	0x1C8	2	ff 00
