slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0xB0	5	06 85 01 01 ff
1	0x45	0xB5	4	06 00 06 ff
2	0x49	0xB9	3	03 03 ff
3	0x4C	0xBC	3	04 04 ff
4	0x4F	0xBF	2	05 ff
5	0x51	0xC1	3	02 02 ff
6	0x54	0xC4	5	89 0a 00 0a ff
7	0x59	0xC9	5	8c 8e 09 09 ff
8	0x5E	0xCE	6	8d 8f 09 09 09 ff
9	0x64	0xD4	4	08 00 08 ff
10	0x68	0xD8	2	08 ff
11	0x6A	0xDA	3	8a 0a ff
12	0x6D	0xDD	3	0b 0b ff
13	0x70	0xE0	4	0b 0b 0b ff
14	0x74	0xE4	3	07 07 ff
15	0x77	0xE7	4	07 07 07 ff
16	0x7B	0xEB	1	ff
17	0x7C	0xEC	1	ff
18	0x7D	0xED	1	ff
19	0x7E	0xEE	1	ff
20	0x7F	0xEF	1	ff
21	0x80	0xF0	1	ff
22	0x81	0xF1	1	ff
23	0x82	0xF2	1	ff
24	0x83	0xF3	1	ff
25	0x84	0xF4	1	ff
26	0x85	0xF5	1	ff
27	0x86	0xF6	1	ff
28	0x87	0xF7	1	ff
29	0x88	0xF8	1	ff
30	0x89	0xF9	1	ff
31	0x8A	0xFA	2	ff 00
