overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	16	64	16	0x10	0x1E00	0x1FB6	256
2	32	8	64	8	0x18	0x1F00	0x20B6	128
3	32	8	64	16	0x20	0x1F80	0x2136	128
4	32	8	64	16	0x28	0x2000	0x21B6	128
5	32	8	64	16	0x30	0x2080	0x2236	128
6	32	8	64	24	0x38	0x2100	0x22B6	128
7	32	16	96	32	0x40	0x2180	0x2336	256
8	32	16	16	56	0x48	0x2280	0x2436	256
9	48	32	80	48	0x50	0x2380	0x2536	768
10	32	32	48	56	0x58	0x2680	0x2836	512
11	32	32	48	56	0x60	0x2880	0x2A36	512
12	32	32	48	56	0x68	0x2A80	0x2C36	512
