slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x140	2	01 ff
1	0x42	0x142	3	02 02 ff
2	0x45	0x145	3	03 03 ff
3	0x48	0x148	5	04 04 00 01 ff
4	0x4D	0x14D	5	04 00 05 06 ff
5	0x52	0x152	9	07 08 09 0a 0b 0c 0d 0e ff
6	0x5B	0x15B	9	14 15 16 17 17 16 15 14 ff
7	0x64	0x164	14	14 15 16 17 18 19 1a 1b 0f 0f 10 11 12 ff
8	0x72	0x172	4	13 00 13 ff
9	0x76	0x176	3	13 13 ff
10	0x79	0x179	4	1d 00 1d ff
11	0x7D	0x17D	4	1e 00 1e ff
12	0x81	0x181	5	8b 1d 00 1d ff
13	0x86	0x186	7	1c 1c 00 1c 00 1c ff
14	0x8D	0x18D	1	ff
15	0x8E	0x18E	1	ff
16	0x8F	0x18F	1	ff
17	0x90	0x190	1	ff
18	0x91	0x191	1	ff
19	0x92	0x192	1	ff
20	0x93	0x193	1	ff
21	0x94	0x194	1	ff
22	0x95	0x195	1	ff
23	0x96	0x196	1	ff
24	0x97	0x197	1	ff
25	0x98	0x198	1	ff
26	0x99	0x199	1	ff
27	0x9A	0x19A	1	ff
28	0x9B	0x19B	1	ff
29	0x9C	0x19C	1	ff
30	0x9D	0x19D	1	ff
31	0x9E	0x19E	2	ff 00
