overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	8	96	32	0x10	0x1E00	0x207E	128
2	32	8	96	32	0x18	0x1E80	0x20FE	128
3	32	8	96	32	0x20	0x1F00	0x217E	128
4	32	8	96	32	0x28	0x1F80	0x21FE	128
5	32	8	96	32	0x30	0x2000	0x227E	128
6	32	8	96	32	0x38	0x2080	0x22FE	128
7	16	8	48	56	0x40	0x2100	0x237E	64
8	16	8	48	56	0x48	0x2140	0x23BE	64
9	16	16	48	48	0x50	0x2180	0x23FE	128
10	16	16	48	48	0x58	0x2200	0x247E	128
11	16	16	48	48	0x60	0x2280	0x24FE	128
12	16	16	48	40	0x68	0x2300	0x257E	128
13	16	16	48	40	0x70	0x2380	0x25FE	128
14	16	8	48	40	0x78	0x2400	0x267E	64
15	32	12	0	32	0x80	0x2440	0x26BE	192
16	32	12	0	32	0x88	0x2500	0x277E	192
17	32	12	0	32	0x90	0x25C0	0x283E	192
18	32	12	0	32	0x98	0x2680	0x28FE	192
19	32	48	64	32	0xA0	0x2740	0x29BE	768
20	16	20	0	24	0xA8	0x2A40	0x2CBE	160
21	32	20	0	24	0xB0	0x2AE0	0x2D5E	320
22	32	20	0	24	0xB8	0x2C20	0x2E9E	320
23	32	20	0	24	0xC0	0x2D60	0x2FDE	320
24	32	20	0	24	0xC8	0x2EA0	0x311E	320
25	32	20	0	24	0xD0	0x2FE0	0x325E	320
26	32	20	0	24	0xD8	0x3120	0x339E	320
27	32	20	0	24	0xE0	0x3260	0x34DE	320
28	16	8	96	48	0xE8	0x33A0	0x361E	64
29	16	8	80	24	0xF0	0x33E0	0x365E	64
30	16	8	112	24	0xF8	0x3420	0x369E	64
