slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0xC2	3	09 00 80
1	0x43	0xC5	14	01 00 02 02 00 03 03 00 00 04 06 05 06 ff
2	0x51	0xD3	6	06 00 06 00 03 ff
3	0x57	0xD9	7	04 05 05 00 03 03 ff
4	0x5E	0xE0	3	03 03 ff
5	0x61	0xE3	4	07 00 07 ff
6	0x65	0xE7	5	01 01 02 04 ff
7	0x6A	0xEC	5	08 08 00 08 ff
8	0x6F	0xF1	2	08 ff
9	0x71	0xF3	9	0b 0b 00 0c 0c 00 0a 0a ff
10	0x7A	0xFC	9	0a 0c 0c 0a 0a 00 0b 0b ff
11	0x83	0x105	5	0e 0e 00 0e ff
12	0x88	0x10A	9	0d 0d 0d 00 0e 0e 00 0d ff
13	0x91	0x113	14	8e 0b 0b 00 0a 0a 00 09 0b 00 09 09 09 ff
14	0x9F	0x121	9	0c 0c 0c 00 0d 0d 0d 0d ff
15	0xA8	0x12A	1	ff
16	0xA9	0x12B	1	ff
17	0xAA	0x12C	1	ff
18	0xAB	0x12D	1	ff
19	0xAC	0x12E	1	ff
20	0xAD	0x12F	1	ff
21	0xAE	0x130	1	ff
22	0xAF	0x131	1	ff
23	0xB0	0x132	1	ff
24	0xB1	0x133	1	ff
25	0xB2	0x134	1	ff
26	0xB3	0x135	1	ff
27	0xB4	0x136	1	ff
28	0xB5	0x137	1	ff
29	0xB6	0x138	1	ff
30	0xB7	0x139	1	ff
31	0xB8	0x13A	2	ff 00
