overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	24	16	40	0x12	0x1E00	0x1FFA	384
2	32	24	16	40	0x1A	0x1F80	0x217A	384
3	32	24	16	40	0x22	0x2100	0x22FA	384
4	32	24	16	40	0x2A	0x2280	0x247A	384
5	32	24	16	40	0x32	0x2400	0x25FA	384
6	32	24	16	40	0x3A	0x2580	0x277A	384
7	32	24	16	40	0x42	0x2700	0x28FA	384
8	16	24	48	48	0x4A	0x2880	0x2A7A	192
9	32	8	64	40	0x52	0x2940	0x2B3A	128
10	16	24	144	32	0x5A	0x29C0	0x2BBA	192
11	16	24	144	32	0x62	0x2A80	0x2C7A	192
12	16	24	144	32	0x6A	0x2B40	0x2D3A	192
13	16	16	128	32	0x72	0x2C00	0x2DFA	128
14	16	16	128	32	0x7A	0x2C80	0x2E7A	128
