slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0xDC	7	01 01 00 01 00 01 ff
1	0x47	0xE3	2	01 ff
2	0x49	0xE5	3	02 02 ff
3	0x4C	0xE8	5	04 03 03 05 ff
4	0x51	0xED	4	05 05 05 ff
5	0x55	0xF1	4	0b 0c 0d ff
6	0x59	0xF5	4	06 06 07 ff
7	0x5D	0xF9	3	07 07 ff
8	0x60	0xFC	4	08 00 08 ff
9	0x64	0x100	5	09 00 0a 0a ff
10	0x69	0x105	5	09 09 00 09 ff
11	0x6E	0x10A	3	08 08 ff
12	0x71	0x10D	9	00 00 0e 0e 0f 0f 10 10 8c
13	0x7A	0x116	18	00 11 11 11 00 00 11 00 11 00 00 00 11 11 00 00 11 8d
14	0x8C	0x128	1	ff
15	0x8D	0x129	1	ff
16	0x8E	0x12A	1	ff
17	0x8F	0x12B	1	ff
18	0x90	0x12C	1	ff
19	0x91	0x12D	1	ff
20	0x92	0x12E	1	ff
21	0x93	0x12F	1	ff
22	0x94	0x130	1	ff
23	0x95	0x131	1	ff
24	0x96	0x132	1	ff
25	0x97	0x133	1	ff
26	0x98	0x134	1	ff
27	0x99	0x135	1	ff
28	0x9A	0x136	1	ff
29	0x9B	0x137	1	ff
30	0x9C	0x138	1	ff
31	0x9D	0x139	1	ff
