overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	24	0	72	0x14	0x1E00	0x1FFE	384
2	32	32	96	56	0x1C	0x1F80	0x217E	512
3	48	24	96	56	0x24	0x2180	0x237E	576
4	32	24	112	56	0x2C	0x23C0	0x25BE	384
5	32	16	96	56	0x34	0x2540	0x273E	256
6	16	16	144	56	0x3C	0x2640	0x283E	128
7	16	16	144	56	0x44	0x26C0	0x28BE	128
8	16	16	0	48	0x4C	0x2740	0x293E	128
9	16	8	0	40	0x54	0x27C0	0x29BE	64
10	16	8	0	40	0x5C	0x2800	0x29FE	64
11	16	8	128	64	0x64	0x2840	0x2A3E	64
12	16	8	128	64	0x6C	0x2880	0x2A7E	64
13	16	8	128	64	0x74	0x28C0	0x2ABE	64
14	16	24	48	32	0x7C	0x2900	0x2AFE	192
15	16	24	48	32	0x84	0x29C0	0x2BBE	192
16	16	24	48	32	0x8C	0x2A80	0x2C7E	192
17	16	16	48	56	0x94	0x2B40	0x2D3E	128
