slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x162	4	00 01 02 80
1	0x44	0x166	12	19 1a 1b 1c 1c 1d 1e 1f 20 21 22 ff
2	0x50	0x172	9	08 09 0a 0b 0c 0d 0e 0f ff
3	0x59	0x17B	2	10 ff
4	0x5B	0x17D	5	10 11 12 10 ff
5	0x60	0x182	2	13 ff
6	0x62	0x184	4	13 14 15 ff
7	0x66	0x188	4	03 00 03 ff
8	0x6A	0x18C	3	04 04 ff
9	0x6D	0x18F	3	05 05 ff
10	0x70	0x192	3	06 06 ff
11	0x73	0x195	3	07 07 ff
12	0x76	0x198	3	16 16 ff
13	0x79	0x19B	3	17 17 ff
14	0x7C	0x19E	2	18 ff
15	0x7E	0x1A0	1	ff
16	0x7F	0x1A1	1	ff
17	0x80	0x1A2	1	ff
18	0x81	0x1A3	1	ff
19	0x82	0x1A4	1	ff
20	0x83	0x1A5	1	ff
21	0x84	0x1A6	1	ff
22	0x85	0x1A7	1	ff
23	0x86	0x1A8	1	ff
24	0x87	0x1A9	1	ff
25	0x88	0x1AA	1	ff
26	0x89	0x1AB	1	ff
27	0x8A	0x1AC	1	ff
28	0x8B	0x1AD	1	ff
29	0x8C	0x1AE	1	ff
30	0x8D	0x1AF	1	ff
31	0x8E	0x1B0	2	ff 00
