overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	32	48	56	0x12	0x1E00	0x2098	512
2	32	32	48	56	0x1A	0x2000	0x2298	512
3	32	15	32	25	0x22	0x2200	0x2498	240
4	32	15	32	25	0x2A	0x22F0	0x2588	240
5	32	8	32	16	0x32	0x23E0	0x2678	128
6	32	8	32	16	0x3A	0x2460	0x26F8	128
7	32	8	32	16	0x42	0x24E0	0x2778	128
8	16	8	0	8	0x4A	0x2560	0x27F8	64
9	16	8	0	8	0x52	0x25A0	0x2838	64
10	16	8	0	8	0x5A	0x25E0	0x2878	64
11	16	8	0	8	0x62	0x2620	0x28B8	64
12	16	8	0	8	0x6A	0x2660	0x28F8	64
13	16	8	0	8	0x72	0x26A0	0x2938	64
14	16	8	0	8	0x7A	0x26E0	0x2978	64
15	16	8	0	8	0x82	0x2720	0x29B8	64
16	32	16	80	24	0x8A	0x2760	0x29F8	256
17	32	16	80	24	0x92	0x2860	0x2AF8	256
18	32	16	80	24	0x9A	0x2960	0x2BF8	256
19	32	8	112	40	0xA2	0x2A60	0x2CF8	128
20	32	8	112	40	0xAA	0x2AE0	0x2D78	128
21	32	8	112	40	0xB2	0x2B60	0x2DF8	128
22	32	1	32	24	0xBA	0x2BE0	0x2E78	16
23	32	1	32	24	0xC2	0x2BF0	0x2E88	16
24	32	1	32	24	0xCA	0x2C00	0x2E98	16
25	32	8	112	72	0xD2	0x2C10	0x2EA8	128
26	32	8	112	72	0xDA	0x2C90	0x2F28	128
27	32	8	112	72	0xE2	0x2D10	0x2FA8	128
28	32	8	112	72	0xEA	0x2D90	0x3028	128
29	32	8	112	72	0xF2	0x2E10	0x30A8	128
30	32	8	112	72	0xFA	0x2E90	0x3128	128
31	32	8	112	72	0x102	0x2F10	0x31A8	128
32	32	8	112	72	0x10A	0x2F90	0x3228	128
33	32	8	112	72	0x112	0x3010	0x32A8	128
34	32	8	112	72	0x11A	0x3090	0x3328	128
