slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0xF6	5	01 02 03 00 80
1	0x45	0xFB	5	04 05 06 00 81
2	0x4A	0x100	5	07 08 09 00 82
3	0x4F	0x105	10	0a 0b 0c 0d 0e 0f 0f 10 11 ff
4	0x59	0x10F	8	0a 0b 0c 0d 0d 10 11 ff
5	0x61	0x117	7	0a 0b 0c 0c 0b 0a ff
6	0x68	0x11E	5	12 13 13 12 ff
7	0x6D	0x123	7	12 13 13 14 14 12 ff
8	0x74	0x12A	1	ff
9	0x75	0x12B	1	ff
10	0x76	0x12C	1	ff
11	0x77	0x12D	1	ff
12	0x78	0x12E	1	ff
13	0x79	0x12F	1	ff
14	0x7A	0x130	1	ff
15	0x7B	0x131	1	ff
16	0x7C	0x132	1	ff
17	0x7D	0x133	1	ff
18	0x7E	0x134	1	ff
19	0x7F	0x135	1	ff
20	0x80	0x136	1	ff
21	0x81	0x137	1	ff
22	0x82	0x138	1	ff
23	0x83	0x139	1	ff
24	0x84	0x13A	1	ff
25	0x85	0x13B	1	ff
26	0x86	0x13C	1	ff
27	0x87	0x13D	1	ff
28	0x88	0x13E	1	ff
29	0x89	0x13F	1	ff
30	0x8A	0x140	1	ff
31	0x8B	0x141	1	ff
