overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	8	64	56	0x16	0x1E00	0x200C	128
2	32	8	64	56	0x1E	0x1E80	0x208C	128
3	32	8	64	56	0x26	0x1F00	0x210C	128
4	16	3	48	64	0x2E	0x1F80	0x218C	24
5	16	3	48	64	0x36	0x1F98	0x21A4	24
6	16	3	48	64	0x3E	0x1FB0	0x21BC	24
7	16	4	112	60	0x46	0x1FC8	0x21D4	32
8	16	4	112	60	0x4E	0x1FE8	0x21F4	32
9	16	4	112	60	0x56	0x2008	0x2214	32
10	16	4	0	12	0x5E	0x2028	0x2234	32
11	16	7	0	9	0x66	0x2048	0x2254	56
12	16	10	0	6	0x6E	0x2080	0x228C	80
13	32	11	0	3	0x76	0x20D0	0x22DC	176
14	32	8	0	3	0x7E	0x2180	0x238C	128
15	32	9	0	4	0x86	0x2200	0x240C	144
16	32	10	0	0	0x8E	0x2290	0x249C	160
17	16	12	0	4	0x96	0x2330	0x253C	96
18	16	4	128	82	0x9E	0x2390	0x259C	32
19	16	5	128	82	0xA6	0x23B0	0x25BC	40
20	16	5	128	82	0xAE	0x23D8	0x25E4	40
