resource	raw_size	graphics_base	graphics_offset_table	descriptor_table	animation_table	overlay_count	graphic_offset_count	extra_graphic_starts	extra_sizes
A00	9714	0x24A	0x218	0x14	0xD4	24	25		
A01	14838	0x2A6	0x26A	0x12	0xFA	29	30		
A02	10742	0x256	0x222	0x12	0xDA	25	26		
A03	10338	0x27A	0x23A	0x10	0x108	31	32		
A04	10684	0x1D4	0x1B6	0x12	0x82	14	15		
A05	9852	0x244	0x214	0x12	0xCA	23	24		
A06	12676	0x324	0x2CE	0x12	0x162	42	43		
A07	12580	0x41C	0x3A8	0x18	0x1E0	57	58		
A08	14612	0x2C4	0x27C	0x14	0x12C	35	36		
A09	16660	0x268	0x232	0x14	0xE4	26	27		
A0A	11830	0x1B6	0x19C	0x10	0x70	12	13		
A0B	14046	0x27E	0x240	0x10	0x100	30	31		
A0C	12026	0x1FA	0x1DC	0x12	0x82	14	15		
A0D	11710	0x1FE	0x1DA	0x14	0x9C	17	18		
A0E	13224	0x298	0x252	0x12	0x122	34	35		
A0F	9740	0x20C	0x1E2	0x16	0xB6	20	21		
A10	17410	0x1C2	0x1A6	0x14	0x74	12	14	0x2440	7680
